GSMA TAC,Model as per GSMA,Mobile Device,Brand Name,Manufacturer
86194904,ONEPLUS A6003,OnePlus 6,1+,OnePlus Technology (Shenzhen) Co Ltd
86210804,ONEPLUS A6013,OnePlus 6T,1+,OnePlus Technology (Shenzhen) Co Ltd
86463003,ONEPLUS A5000,ONEPLUS 5,1+,OnePlus Technology (Shenzhen) Co Ltd
86512403,ONEPLUS A5000,ONEPLUS 5,1+,OnePlus Technology (Shenzhen) Co Ltd
86520804,ONEPLUS A6013,OnePlus 6T,1+,OnePlus Technology (Shenzhen) Co Ltd
86624104,ONEPLUS A6013,OnePlus 6T,1+,OnePlus Technology (Shenzhen) Co Ltd
86626503,ONEPLUS A5000,OnePlus 5,1+,OnePlus Technology (Shenzhen) Co Ltd
86679003,ONEPLUS A5000,OnePlus 5,1+,OnePlus Technology (Shenzhen) Co Ltd
86681703,ONEPLUS A5010,OnePlus 5T,1+,OnePlus Technology (Shenzhen) Co Ltd
86728703,ONEPLUS A5010,OnePlus5T,1+,OnePlus Technology (Shenzhen) Co Ltd
86823303,ONEPLUS A5010,OnePlus 5T,1+,OnePlus Technology (Shenzhen) Co Ltd
86871703,ONEPLUS A5010,OnePlus 5T,1+,OnePlus Technology (Shenzhen) Co Ltd
86929503,ONEPLUS A6003,OnePlus 6,1+,OnePlus Technology (Shenzhen) Co Ltd
86989603,ONEPLUS A6003,OnePlus 6,1+,OnePlus Technology (Shenzhen) Co Ltd
35802209,C516C,Infinity k2,ABANS,Abans PLC
35802309,C516D,Infinity e3,ABANS,Abans PLC
1464700,SL6087,AirPrime SL6087,AirPrime,Sierra Wireless
1492400,HL8549,AirPrime HL8549,AirPrime,Sierra Wireless
1525900,HL8549,AirPrime HL8549,AirPrime,Sierra Wireless
1560100,HL8549,AirPrime HL8549,AirPrime,Sierra Wireless
35182708,EM7430,AirPrime EM7430,AirPrime,Sierra Wireless
35186506,Q2687,AirPrime Q2687,AirPrime,Sierra Wireless
35226707,SL6087,AirPrime SL6087,AirPrime,Sierra Wireless
35291108,MC7430,AirPrime MC7430,AirPrime,Sierra Wireless
35407807,EM7305,AirPrime EM7305,AirPrime,Sierra Wireless
35429306,SL6087,AirPrime SL6087,AirPrime,Sierra Wireless
35492711,MC7455,AirPrime MC7455,AirPrime,Sierra Wireless
35520108,EM7430,AirPrime EM7430,AirPrime,Sierra Wireless
35533906,HL8549,AirPrime HL8549,AirPrime,Sierra Wireless
35652607,MC7455,Airprime MC7455,AirPrime,Sierra Wireless
35907206,MC7455,AirPrime MC7455,AirPrime,Sierra Wireless
35907406,MC7430,AirPrime MC7430,AirPrime,Sierra Wireless
35907506,EM7430,AirPrime EM7430,AirPrime,Sierra Wireless
35919303,SL6087,AirPrime SL6087,AirPrime,Sierra Wireless
35922405,MC7304,AirPrime MC7304,AirPrime,Sierra Wireless
35936207,HiLo3G 900,Sierra Wireless HiLo3G 900,AirPrime,Sierra Wireless
35991306,HL6528,AirPrime HL6528,AirPrime,Sierra Wireless
35991406,HL6528-G,AirPrime HL6528-G,AirPrime,Sierra Wireless
1505000,1066D,ALCATEL 1066D,ALCATEL,TCL Communication Ltd
35151510,1066D,ALCATEL 1066D,ALCATEL,TCL Communication Ltd
35166808,9015Q,"PIXI 4 7"" 4G android",ALCATEL,TCL Communication Ltd
35169408,5048U,PIXI 4 (5.5),ALCATEL,TCL Communication Ltd
